Comments,Immigrant_author,Supports,postedDate
Please pass this bill. I support H-4 work authorization. Its going to help economy to pay more taxes. It will move job market. Will create more job in all sectors and spend growth will increase of the consumers. ,0,1,2014-07-08T00:00:00-04:00
"I strongly support this rule. Allowing the eligible class of H-4 dependent spouses to work encourages professionals with high demand skills to remain in the country and help spur the innovation and growth of U.S. companies, and thus allow the United States to remain a world leader in high technology. ",0,1,2014-07-02T00:00:00-04:00
"I completely support and pray for this rule to be passed.

It is definitely the right thing to do both ethically and economically as pointed out in the Comment ID: USCIS-2010-0017-5602.

America is the greatest of all nations and will continue to do so. God Bless America!!!

",0,1,2014-06-02T00:00:00-04:00
Yes!,0,1,2014-06-17T00:00:00-04:00
I think this is a must have poilcy. There are a lot of talented H4 candidates who if given an opportunity can contribute immensely to the US economy. They are spouses with graduate and post graduate degrees and their talent/knowledge is being wasted because of their inability to work. I think  if this policy is made into low this will be a win win situation for both parties. The candidate will be able to showcase their knowledge/talent and make some money while the government will be able to earn additional revenue in taxes at minimal expense.,0,1,2014-07-08T00:00:00-04:00
"Please make this happen. My wife, has done her masters and is really willing to work and grow up in career as well as life. If this becomes reality, it will really make a difference in our lifes. She is a qualified professional and needs a work permit. Thank you in advance if this will becomes a reality. ",1,1,2014-05-22T00:00:00-04:00
Make this law happen.The more we delay the more we face the brain drain. I am a H4 visa holder with just a HOPE(Holding Onto Positive Effects) with this law.,1,1,2014-07-01T00:00:00-04:00
"It will be 10 years since I moved to US! My wife is on H4, and holds Bachelors in Statistics & Computer Science and Masters in Business Administration (MBA)! She has enough experience and education to pursue a position which is high in demand and required in the states. She is staying home from last 5 years which is affecting financially as well our personal lives. I have a son (born US citizen) who turned 3 recently started to send him to daycare and now I am reaching a point where I will not be able to afford all these overheads with one income! 

I have my I-140 (EB2) approved and waiting for the dates to move  and this could be a miracle if my wife could work! 
All that being said, this amendment would be a great help to all of us who are dreaming a better life (owning a house and feel like home) and better personal life's too. 

I am sure this change will positively impact everybody's life and also boom the economy as people start investing here instead of investing in their home countries as they feel that they could stay here permanently. Thanks for the initiation and hope this will be effective real soon!
",1,1,2014-05-13T00:00:00-04:00
"A BIG YES to this. No doubt legal taxpayers, H1B wives should get work authorization to add to the economy. As second thought to this would be inhuman. ",0,1,2014-05-15T00:00:00-04:00
This is a great initiative. I whole heartily support it. It's going to help US to retain the talented workers and as well help their families to lead a stable life and realize the america dream. Thanks again.,0,1,2014-07-10T00:00:00-04:00
"We don't have jobs.  We are taxed coming and going.  The economy is fragile at best.  Now this administration proposes that we allow vast numbers of unemployed immigrants to enter the country with NO review of their intentions or history.  Meanwhile our service men are being RIFed (Reduction in Forces) at an unprecedented rate.  Their need for jobs will also tax a system that is not being allowed to generate jobs.
If Congress and the White House wanted to destroy this country, they would do exactly what they are currently doing.
I do not want to see amnesty in any form.  No increases in immigration until this country is once again booming.  At that point these immigrants would not be taking jobs from Americans.  At this point they will.
I have no job and no prospect of finding one.  I know college educated professionals who are working for nearly minimum wage because there are no higher paying jobs.   (No minimum wage hike either!  That may sound lovely to people who don't understand economics, but surely the Congress understands it will only increase unemployment.
The elites in Washington are playing not only with people's lives, but with the future of our nation.  We are not too big to fail.  No country is.    ",0,0,2014-05-15T00:00:00-04:00
"A BIG YES! , this should be implemented quickly. There are many H4 spouses , who have good work experience . If they are allowed to work , it will improve the US economy in every possible way.
",0,1,2014-07-14T00:00:00-04:00
Why there is discrimination between guy who's I-140 is approved vs not. If work authorization is enabled it should be done for everyone.,0,1,2014-05-14T00:00:00-04:00
It is a wonderful proposal. Looking forward to hear back from the USCIS,0,1,2014-05-13T00:00:00-04:00
Firstly Thanks for considering this change. I vote for this change to come into effect. Please approve EAD for H4 people.,0,1,2014-05-20T00:00:00-04:00
"This is the perfect rule. Waiting to see in reality. There are many H4 technical people whose intelligence is getting wasted, this will improve the economy a lot. ",0,1,2014-07-01T00:00:00-04:00
"ID:USCIS-2010-0017-0001
This is the way to go in the land of opportunities. Every person, who is legally a resident in the US, should be able to live the American dream if he/she is qualified. I am currently doing my Masters in Ayurveda in India, and not a day has gone by where I haven't thought about my future in US. It wouldn't be fair, if I have to sit at home and not do anything about it after moving to US next year, although Ayurveda in bay area is blooming. I personally appreciate everybody who is backing this rule. 

Thanks!",1,1,2014-05-13T00:00:00-04:00
"Great decision..
Would like to see this being implemented soon. This will solve the plight of many h4 wife's who are extremely qualified but cannot work..will also help US industry by retaining talent within US.

",0,1,2014-05-15T00:00:00-04:00
